loader	dataset	auto_s	\tau_{temp}	\tau_{inst}	\lambda	MSE_{n-24}	MAE_{n-24}	MSE_{r-24}	MAE_{r-24}	MSE_{n-48}	MAE_{n-48}	MSE_{r-48}	MAE_{r-48}	MSE_{n-168}	MAE_{n-168}	MSE_{r-168}	MAE_{r-168}	MSE_{n-336}	MAE_{n-336}	MSE_{r-336}	MAE_{r-336}	MSE_{n-720}	MAE_{n-720}	MSE_{r-720}	MAE_{r-720}
forecast_csv_univar	ETTh1	n	0	0	0.5	0.04200268361153518	0.15485610070386457	3.5369613816101446	1.4210356021507835	0.06256299249038726	0.19033782970006885	5.268303590181071	1.7466333632557205	0.12005394252042792	0.26490642094516187	10.109500710149346	2.430911362231136	0.14000150562300642	0.29135454502907915	11.789244823503278	2.673612332432436	0.16176759254084122	0.32376556405068296	13.622123200701973	2.9710317559398236
forecast_csv_univar	ETTh1	y	0.4	0.0	0.5	0.04519044947827436	0.16148648916662436	3.8053967395531787	1.4818793024859847	0.07749693422128123	0.20963132144076554	6.525860761331624	1.9236799182648139	0.14219035241616126	0.29040888981969926	11.973563270269548	2.6649345444985504	0.15495566131073382	0.30976414869322105	13.048504184085841	2.8425478969024796	0.17686345531982822	0.3408600606108484	14.893315382122395	3.127899244895564
forecast_csv_univar	ETTh1	n	0.2	0.0	0.5	0.04428266998281787	0.16088009201523282	3.7289544516295923	1.4763147046148803	0.07343392251979133	0.2058825738806708	6.183722729091348	1.8892795701385428	0.1442419385369219	0.2929488630014498	12.14632310369459	2.6882425718249694	0.16104665610723265	0.3145693825165471	13.561414509790017	2.886643070938212	0.18959040617594403	0.3540023954863333	15.96502627836933	3.248499760306651
forecast_csv_univar	ETTh1	n	0.5	0.0	0.5	0.0445120842569319	0.15992845426866462	3.7482729728010558	1.4675820113229487	0.07726507654777603	0.20882374830289568	6.506336490786116	1.9162692303714908	0.14383770892196232	0.2921753783522581	12.112283843956906	2.6811447102273047	0.1566805166493934	0.31148334474481554	13.193750786177038	2.858324084360504	0.17340854881624884	0.3370052725474453	14.602384670864735	3.0925258182433732
forecast_csv_univar	ETTh1	n	1.0	0.0	0.5	0.0445258616884068	0.15897069928235003	3.74943312074791	1.4587931770791953	0.06261168938445022	0.1890491637819904	5.272404258144456	1.7348079341854994	0.12567216108256474	0.27168741035858274	10.582599566773533	2.4931370477311905	0.14392925095046438	0.2967002011266464	12.119992332208898	2.7226666947725144	0.16774104238274132	0.3307837819488804	14.125135370379782	3.0354343669053665
forecast_csv_univar	ETTh1	n	2.0	0.0	0.5	0.04448440327256919	0.15903733759498725	3.7459419960065232	1.459404685195347	0.06203926262942295	0.1892199876634761	5.224201359162252	1.7363754978041608	0.12088622963024147	0.2655466456871879	10.179585919231863	2.4367863776023637	0.14039734757804204	0.29147059434189665	11.82257787152251	2.674677257166489	0.16335931455367117	0.32542612087312756	13.756158902196068	2.986269840075295
forecast_csv_univar	ETTh1	n	4.0	0.0	0.5	0.04203194019352845	0.15490202343098558	3.539425022514414	1.4214570103411774	0.06262891911432417	0.19027156198241368	5.273855134678817	1.7460252584065667	0.12088768253193798	0.26580328208575066	10.179708273644282	2.439141400167055	0.14104183544279175	0.29237600532155045	11.87684889793619	2.682985753098345	0.16317055834193472	0.32521725508691	13.740264118979628	2.9843531847621145
forecast_csv_univar	ETTh2	n	0	0	0.5	0.093413098759178	0.2327365195577152	12.536571405870715	2.696187159000463	0.125502957661047	0.2760706529933184	16.84321376849183	3.1982009134145697	0.19440738156714685	0.35385842440084525	26.090580934381954	4.099350369489262	0.1987675576336964	0.35984694512983123	26.675741449199172	4.168725698252978	0.21239625109939064	0.37467674379519567	28.504789858045648	4.3405247398328015
forecast_csv_univar	ETTh2	y	0.3333333333333333	0.0	0.5	0.09546065953162912	0.234562628850114	12.811365751153712	2.717342119088878	0.12948141107417876	0.27890169070651194	17.377144914931904	3.2309976865324086	0.193345518780723	0.34856354899627906	25.948072897847315	4.038010728712863	0.20684693879051608	0.3640751862054156	27.760040522127508	4.217708681297258	0.22232350214474195	0.3824853665345609	29.837083626081938	4.430985436947872
forecast_csv_univar	ETTh2	n	0.2	0.0	0.5	0.09972881964155544	0.23961717422271422	13.384177201571047	2.7758976074067148	0.13276401269708477	0.2831513844353891	17.817688826861904	3.2802291947659445	0.1957396702047674	0.35166830235931307	26.269381701325678	4.073978424490903	0.20904437523482164	0.36691100274076777	28.054949052485263	4.250560819104852	0.22213464736314442	0.38229301823875667	29.811738229502335	4.428757136220675
forecast_csv_univar	ETTh2	n	0.5	0.0	0.5	0.09386529755236728	0.2331431636645227	12.59725906754941	2.7008980139248058	0.12932789219627333	0.27879455324494695	17.35654181903233	3.2297565310313687	0.19858271337017228	0.3534751729602719	26.650934302702627	4.094910510006603	0.2084511234964464	0.3653909677141708	27.975331272698472	4.23295164036311	0.2228491670081248	0.38275407071649337	29.907630839992194	4.434098298841454
forecast_csv_univar	ETTh2	n	1.0	0.0	0.5	0.09193168172886755	0.23087749163897223	12.337756784336532	2.674650842278283	0.12607083608225794	0.275739683424429	16.919426294023207	3.1943667229972985	0.19722659909585685	0.3546183280553637	26.46893599184445	4.108153637605066	0.2027610515573451	0.36225905403097675	27.211691118725646	4.196669301036369	0.2170500578850714	0.3782759069057648	29.129357291666917	4.382220031594578
